"","Branch.Name","Library.Type","Address","Website","Phone.Number","latitude","longitude","Charge","type2","type3","Label"
"1","May Memorial Library (Main)","Library","342 S Spring St Burlington, NC 27215","https://www.alamancelibraries.org/","(336) 229-3588",36.09292619,-79.4365,"Free",NA,"Library","<B>May Memorial Library (Main)</B><br><B>Library</B><br><B>Charge: </B>Free<br><B>Address: </B>342 S Spring St Burlington, NC 27215<br><a href=""https://www.alamancelibraries.org/"" target=""_blank"">Website</a><br>"
"2","Graham Public Library","Library","211 S Main St Graham, NC 27253","https://www.alamancelibraries.org/","(336) 570-6730",36.06761604,-79.4005,"Free",NA,"Library","<B>Graham Public Library</B><br><B>Library</B><br><B>Charge: </B>Free<br><B>Address: </B>211 S Main St Graham, NC 27253<br><a href=""https://www.alamancelibraries.org/"" target=""_blank"">Website</a><br>"
"3","North Park Library / Community Center","Library","849 Sharpe Rd Burlington, NC 27217","https://www.alamancelibraries.org/","(336) 226-7185",36.1149249,-79.4312,"Free",NA,"Library","<B>North Park Library / Community Center</B><br><B>Library</B><br><B>Charge: </B>Free<br><B>Address: </B>849 Sharpe Rd Burlington, NC 27217<br><a href=""https://www.alamancelibraries.org/"" target=""_blank"">Website</a><br>"
"4","Ahoskie Public Library","Library","210 E Church St Ahoskie, NC 27910","https://www.ahoskienc.gov/Library","(252) 332-5500",36.2840185,-76.9854,"Free",NA,"Library","<B>Ahoskie Public Library</B><br><B>Library</B><br><B>Charge: </B>Free<br><B>Address: </B>210 E Church St Ahoskie, NC 27910<br><a href=""https://www.ahoskienc.gov/Library"" target=""_blank"">Website</a><br>"
"5","Hertford County Library","Library","303 W Tryon St Winton, NC 27986","https://arlnc.libguides.com/home","(252) 358-7855",36.39686287,-76.9346,"Free",NA,"Library","<B>Hertford County Library</B><br><B>Library</B><br><B>Charge: </B>Free<br><B>Address: </B>303 W Tryon St Winton, NC 27986<br><a href=""https://arlnc.libguides.com/home"" target=""_blank"">Website</a><br>"
"6","Bertie County Public Library","Library","111 US Hwy 13/17 Bypass Windsor, NC 27983","http://www.co.bertie.nc.us/information/libraries.html","(252) 794-2244",35.97682061,-76.9561,"Free",NA,"Library","<B>Bertie County Public Library</B><br><B>Library</B><br><B>Charge: </B>Free<br><B>Address: </B>111 US Hwy 13/17 Bypass Windsor, NC 27983<br><a href=""http://www.co.bertie.nc.us/information/libraries.html"" target=""_blank"">Website</a><br>"
"7","Northampton County Memorial Library","Library","207 W Jefferson St Jackson, NC 27845","https://www.northamptonnc.com/241/Northampton-Memorial-Library","(252) 534-3571",36.38966551,-77.4217,"Free",NA,"Library","<B>Northampton County Memorial Library</B><br><B>Library</B><br><B>Charge: </B>Free<br><B>Address: </B>207 W Jefferson St Jackson, NC 27845<br><a href=""https://www.northamptonnc.com/241/Northampton-Memorial-Library"" target=""_blank"">Website</a><br>"
"8","Alexander County Library (Main)","Library","77 1st Ave Sw Taylorsville, NC 28681","https://www.alexanderlibrary.org/","(828) 632-4058",35.92087641,-81.1759,"Free",NA,"Library","<B>Alexander County Library (Main)</B><br><B>Library</B><br><B>Charge: </B>Free<br><B>Address: </B>77 1st Ave Sw Taylorsville, NC 28681<br><a href=""https://www.alexanderlibrary.org/"" target=""_blank"">Website</a><br>"
"9","Bethlehem Branch Library","Library","45 Rink Dam Rd Hickory, NC 28601","https://www.alexanderlibrary.org/","(828) 495-8753",35.81555623,-81.3076,"Free",NA,"Library","<B>Bethlehem Branch Library</B><br><B>Library</B><br><B>Charge: </B>Free<br><B>Address: </B>45 Rink Dam Rd Hickory, NC 28601<br><a href=""https://www.alexanderlibrary.org/"" target=""_blank"">Website</a><br>"
"10","Stony Point Branch Library","Library","431 Ruritan Park Rd Stony Point, NC 28678","https://www.alexanderlibrary.org/","(828) 632-4058",35.86197718,-81.0458,"Free",NA,"Library","<B>Stony Point Branch Library</B><br><B>Library</B><br><B>Charge: </B>Free<br><B>Address: </B>431 Ruritan Park Rd Stony Point, NC 28678<br><a href=""https://www.alexanderlibrary.org/"" target=""_blank"">Website</a><br>"
